Feature,Importance,Importance_Normalized
price_182,1.1123633104416367e-06,2.492688543114847e-06
price_123,9.139265469176178e-07,2.0480127413098354e-06
price_114,9.063861901480977e-07,2.031115599203522e-06
price_53,8.285807739436771e-07,1.8567618896335433e-06
price_192,7.235497205928306e-07,1.6213984064070116e-06
price_193,6.601848639053304e-07,1.4794044635841975e-06
price_174,6.403399225478508e-07,1.4349340486610949e-06
price_24,5.401876522089975e-07,1.210503402219256e-06
price_74,5.372735694943892e-07,1.2039732510283566e-06
price_73,4.702694246572431e-07,1.0538240483272622e-06
price_2,4.1938068289108573e-07,9.397877596585287e-07
price_122,3.7734561576252283e-07,8.455916195513619e-07
price_144,3.6538170823215623e-07,8.187817679930701e-07
price_103,3.4402463136272174e-07,7.709228173003094e-07
price_143,3.3604468156580353e-07,7.530405937078104e-07
price_163,2.902598769711053e-07,6.504416884844398e-07
price_12,2.509611112169372e-07,5.623773103856363e-07
price_22,2.2912705451599195e-07,5.134494983324342e-07
price_173,1.8367518805044317e-07,4.115966722473331e-07
price_153,1.727751365934293e-07,3.8717080964361826e-07
price_133,1.6391438808913616e-07,3.673148092948614e-07
price_154,1.477017294003848e-07,3.309839557081525e-07
